folder,zone,species,x,y,z,yaw_deg,scale
Preserve,Grove_SouthBench,XfHinokiMT,-343.24,200.39,40.25,208.2,0.9211
Preserve,Grove_Sugi,SugiHero_SugiSmart,-283.03,191.57,-24.53,245.6,1.1509
Preserve,Grove_Sugi,SugiHero_SugiSmart,-287.56,188.98,-19.22,24.4,1.0584
Preserve,Grove_Sugi,SugiHero_SugiD,-291.38,196.20,-23.28,127.1,1.0781
Preserve,Grove_Sugi,SugiHero_SugiSmart,-294.91,189.36,-19.56,45.5,0.8677
Preserve,Grove_Sugi,XfSugiYb,-276.48,178.09,-23.12,328.6,0.8558
Preserve,Grove_Sugi,SugiHero_SugiE,-299.88,199.79,-23.97,300.4,0.9440
Preserve,DockSite,XfFirMT,-440.00,282.63,-20.00,258.0,1.1339
Preserve,CoreUnder,XfSpruceYb,-312.00,190.34,-44.00,358.7,1.0311
Preserve,CoreUnder,XfSpruceYb,-115.00,148.88,30.81,135.9,1.1470
Preserve,CoreUnder,XfHinokiYb,-304.00,193.68,52.00,11.9,0.8936
Preserve,CoreUnder,XfSpruceYb,-408.00,219.64,28.00,158.8,0.5622
Preserve,CoreUnder,XfSpruceYb,-316.00,188.24,28.00,60.7,1.1037
Preserve,CoreUnder,XfFirYb,-400.00,215.53,28.00,309.4,0.5994
Preserve,CoreUnder,XfSpruceYb,-352.00,195.65,28.00,61.2,1.0799
Preserve,CoreUnder,XfSpruceYb,-288.00,180.60,-24.00,15.7,1.0528
Preserve,CoreUnder,XfSugiYb,-348.00,193.32,20.00,148.1,1.1139
Preserve,CoreUnder,XfFirYb,-192.00,162.99,-8.00,109.0,0.9788
Preserve,CoreUnder,XfSugiYb,-412.00,238.84,-52.00,311.3,1.0400
Preserve,CoreUnder,XfHinokiYb,-188.00,160.16,-20.00,242.9,0.7180
Preserve,CoreUnder,XfSpruceYb,-316.00,193.36,-52.00,70.7,0.8623
Preserve,CoreUnder,XfSugiYb,-316.00,188.96,-32.00,55.7,0.9015
Preserve,CoreUnder,XfFirYb,-416.00,224.22,24.00,15.8,1.1164
Preserve,CoreUnder,XfSpruceYb,-112.00,151.38,48.00,24.8,0.9047
Preserve,CoreUnder,XfFirYb,-288.00,207.19,60.00,72.3,1.0835
Preserve,CoreUnder,XfHinokiYb,-420.00,245.15,60.00,215.4,0.6873
Preserve,CoreUnder,XfFirYb,-204.70,161.99,-12.37,309.8,0.8861
Preserve,CoreUnder,XfFirYb,-404.82,218.47,28.95,144.6,0.7059
Preserve,CoreUnder,XfHinokiYb,-336.00,199.83,-56.00,232.0,0.6859
Preserve,CoreUnder,XfHinokiYb,-196.00,163.37,-16.00,239.8,0.9446
Preserve,CoreUnder,XfFirYb,-336.00,189.70,20.00,206.9,1.0051
Preserve,CoreUnder,XfFirYb,-414.32,235.46,52.58,89.5,0.7255
Preserve,CoreUnder,XfHinokiYb,-400.00,220.09,52.00,307.6,0.6186
Preserve,CoreUnder,XfFirYb,-396.00,231.44,-60.00,69.5,0.6994
Preserve,CoreUnder,XfSugiYb,-204.00,163.75,-20.00,325.8,1.0054
Preserve,CoreUnder,XfSpruceYb,-313.68,192.42,-47.69,70.3,1.0277
Preserve,CoreUnder,XfFirYb,-312.00,192.02,44.00,5.1,0.8669
Preserve,CoreUnder,XfFirYb,-200.00,162.93,-8.00,319.6,0.8738
Preserve,CoreUnder,XfSpruceYb,-380.00,200.40,20.00,201.7,0.9035
Preserve,CoreUnder,XfSpruceYb,-112.00,159.47,56.00,65.9,0.8889
Preserve,CoreUnder,XfSpruceYb,-305.51,188.02,-41.69,184.9,0.9360
Preserve,CoreUnder,XfSugiYb,-104.00,158.04,-56.00,7.4,0.8675
Preserve,CoreUnder,XfSpruceYb,-148.00,154.46,28.00,278.3,0.9113
Preserve,CoreUnder,XfSpruceYb,-404.00,238.49,-56.00,124.7,1.1345
Preserve,CoreUnder,XfFirYb,-197.34,163.51,-4.43,79.2,1.0767
Preserve,CoreUnder,XfHinokiYb,-380.00,214.95,-40.00,168.6,0.8785
Preserve,CoreUnder,XfFirYb,-336.00,192.80,32.00,24.3,1.0803
Preserve,CoreUnder,XfSpruceYb,-304.73,187.75,-38.73,274.7,0.5826
Preserve,CoreUnder,XfHinokiYb,-108.58,152.17,52.84,290.1,1.0200
Preserve,CoreUnder,XfHinokiYb,-380.00,216.76,-56.00,144.6,1.0256
Preserve,CoreUnder,XfSpruceYb,-340.00,194.56,40.00,35.9,1.1005
Preserve,CoreUnder,XfSpruceYb,-216.00,172.18,-4.00,68.9,1.0686
Preserve,CoreUnder,XfSpruceYb,-308.00,187.35,-36.00,203.8,0.5813
Preserve,CoreUnder,XfHinokiYb,-212.00,164.61,-20.00,228.8,0.6485
Preserve,CoreUnder,XfFirYb,-120.00,148.51,28.00,38.4,1.1009
Preserve,CoreUnder,XfFirYb,-340.00,197.87,-44.00,236.5,1.0736
Preserve,CoreUnder,XfSugiYb,-216.00,171.05,-12.00,189.9,0.9459
Preserve,CoreUnder,XfHinokiYb,-340.00,189.89,12.00,62.6,0.6377
Preserve,CoreUnder,XfFirYb,-220.00,178.22,-20.00,195.3,1.0440
Preserve,CoreUnder,XfFirYb,-384.00,205.41,28.00,78.0,0.7299
Preserve,CoreUnder,XfFirYb,-216.00,171.33,-44.00,183.5,1.0603
Preserve,CoreUnder,XfSpruceYb,-112.00,146.01,28.00,23.3,0.8951
Preserve,CoreUnder,XfFirYb,-332.00,193.31,40.00,306.4,1.0205
Preserve,CoreUnder,XfSpruceYb,-312.00,195.13,56.00,71.5,0.7053
Preserve,CoreUnder,XfFirYb,-208.00,162.82,-12.00,5.4,0.9119
Preserve,CoreUnder,XfHinokiYb,-102.63,157.59,56.71,160.3,1.0714
Preserve,CoreUnder,XfSpruceYb,-340.00,197.29,52.00,115.2,0.6908
Preserve,CoreUnder,XfSpruceYb,-208.00,164.02,-4.00,60.1,1.0336
Preserve,CoreUnder,XfHinokiYb,-376.00,204.94,32.00,126.1,0.5882
Preserve,CoreUnder,XfFirYb,-104.00,154.11,-44.00,79.5,0.7079
Preserve,CoreUnder,XfSpruceYb,-160.00,170.50,-60.00,277.6,0.5985
Preserve,CoreUnder,XfSpruceYb,-96.00,152.61,-48.00,323.1,0.6355
Preserve,CoreUnder,XfSpruceYb,-328.00,198.53,-56.00,277.3,0.8627
Preserve,CoreUnder,XfHinokiYb,-376.00,214.86,-32.00,349.3,0.6454
Preserve,CoreUnder,XfHinokiYb,-369.26,215.52,-56.46,0.3,0.9617
Preserve,CoreUnder,XfFirYb,-384.00,215.32,-48.00,65.3,0.6590
Preserve,CoreUnder,XfSpruceYb,-384.00,205.43,12.00,254.2,0.8567
Preserve,CoreUnder,XfFirYb,-104.00,145.04,-32.00,132.1,1.0949
Preserve,CoreUnder,XfSugiYb,-332.00,194.95,48.00,243.5,0.9931
Preserve,CoreUnder,XfHinokiYb,-104.00,154.27,52.00,27.1,0.9118
Preserve,CoreUnder,XfSpruceYb,-231.37,188.87,-32.46,42.7,0.7244
Preserve,CoreUnder,XfSpruceYb,-328.00,191.08,-32.00,309.0,1.1050
Preserve,CoreUnder,XfHinokiYb,-368.00,196.80,24.00,310.2,0.6096
Preserve,CoreUnder,XfSpruceYb,-160.00,159.58,-40.00,309.1,0.5767
Preserve,CoreUnder,XfHinokiYb,-160.00,157.44,-24.00,343.3,0.7042
Preserve,CoreUnder,XfFirYb,-184.00,159.93,-12.00,313.0,0.9243
Preserve,CoreUnder,XfSpruceYb,-332.00,195.19,-40.00,204.7,0.6598
Preserve,CoreUnder,XfFirYb,-156.00,158.13,-32.00,263.3,1.0784
Preserve,CoreUnder,XfSpruceYb,-368.00,202.72,32.00,152.8,1.1307
Preserve,CoreUnder,XfHinokiYb,-156.00,156.97,36.00,131.3,1.1023
Preserve,CoreUnder,XfSpruceYb,-332.00,197.56,-48.00,89.5,1.0579
Preserve,CoreUnder,XfSpruceYb,-96.00,143.53,-32.00,307.0,0.9511
Preserve,CoreUnder,XfSpruceYb,-93.14,142.22,-27.88,114.9,0.9308
Preserve,CoreUnder,XfSpruceYb,-376.00,216.64,-48.00,115.0,1.0316
Preserve,CoreUnder,XfSugiYb,-296.00,195.61,52.00,290.3,0.9404
Preserve,CoreUnder,XfHinokiYb,-392.00,213.29,20.00,103.7,1.1480
Preserve,CoreUnder,XfHinokiYb,-368.00,217.43,-44.00,263.6,1.1176
Preserve,CoreUnder,XfHinokiYb,-96.00,149.98,48.00,55.7,1.0595
Preserve,CoreUnder,XfHinokiYb,-159.92,157.26,37.23,114.4,0.9047
Preserve,CoreUnder,XfFirYb,-392.00,208.22,28.00,332.4,0.6937
Preserve,CoreUnder,XfHinokiYb,-224.00,179.80,-28.00,167.1,1.0718
Preserve,CoreUnder,XfSugiYb,-300.00,184.03,-20.00,153.7,1.0552
Preserve,CoreUnder,XfHinokiYb,-228.21,199.86,-52.10,116.8,1.0532
Preserve,CoreUnder,XfSpruceYb,-96.27,147.08,-41.32,97.7,0.5771
Preserve,CoreUnder,XfHinokiYb,-372.00,218.23,-60.00,77.1,1.0955
Preserve,CoreUnder,XfHinokiYb,-152.00,162.87,-56.00,80.3,1.0395
Preserve,CoreUnder,XfHinokiYb,-360.00,197.04,28.00,169.1,0.9859
Preserve,CoreUnder,XfHinokiYb,-276.00,201.37,52.00,103.4,0.8588
Preserve,CoreUnder,XfSpruceYb,-91.70,145.22,-35.55,53.4,1.1453
Preserve,CoreUnder,XfHinokiYb,-356.00,199.00,36.00,246.8,0.5802
Preserve,CoreUnder,XfHinokiYb,-232.00,200.69,-48.00,249.3,1.0097
Preserve,CoreUnder,XfSugiYb,-151.32,157.50,-38.50,93.4,1.0798
Preserve,CoreUnder,XfFirYb,-352.00,202.18,-56.00,104.5,0.8998
Preserve,CoreUnder,XfHinokiYb,-156.19,156.26,29.02,255.1,1.0684
Preserve,CoreUnder,XfSpruceYb,-388.00,223.70,-60.00,137.5,0.6981
Preserve,CoreUnder,XfHinokiYb,-272.00,209.22,60.00,165.7,0.9511
Preserve,CoreUnder,XfFirYb,-320.00,195.44,52.00,112.8,0.9596
Preserve,CoreUnder,XfSpruceYb,-168.00,168.86,-52.00,257.7,0.7455
Preserve,CoreUnder,XfHinokiYb,-416.17,244.39,61.91,313.6,0.7179
Preserve,CoreUnder,XfSpruceYb,-306.69,187.98,-41.51,221.8,0.5912
Preserve,CoreUnder,XfHinokiYb,-320.00,186.70,20.00,340.2,0.6101
Preserve,CoreUnder,XfSugiYb,-152.00,158.61,-44.00,94.0,0.9460
Preserve,CoreUnder,XfHinokiYb,-320.00,189.92,36.00,68.5,0.6575
Preserve,CoreUnder,XfSugiYb,-148.87,156.48,-40.69,148.0,1.0637
Preserve,CoreUnder,XfHinokiYb,-344.00,193.57,32.00,302.5,0.7147
Preserve,CoreUnder,XfFirYb,-180.00,160.67,-20.00,85.2,0.8521
Preserve,CoreUnder,XfFirYb,-164.00,161.44,44.00,143.6,1.1423
Preserve,CoreUnder,XfHinokiYb,-320.00,200.85,-60.00,69.1,0.9916
Preserve,CoreUnder,XfSpruceYb,-148.00,155.94,-28.00,229.4,0.9860
Preserve,CoreUnder,XfSpruceYb,-236.00,192.76,-36.00,81.7,0.7414
Preserve,CoreUnder,XfSpruceYb,-356.00,200.33,-44.00,291.2,1.0523
Preserve,CoreUnder,XfSpruceYb,-152.00,155.62,20.00,208.8,0.6281
Preserve,CoreUnder,XfSugiYb,-264.00,183.64,40.00,225.8,0.9637
Preserve,CoreUnder,XfHinokiYb,-320.00,191.54,-40.00,359.6,0.9363
Preserve,CoreUnder,XfHinokiYb,-324.00,193.29,44.00,153.8,0.6897
Preserve,CoreUnder,XfSpruceYb,-392.00,218.51,-52.00,193.5,0.7338
Preserve,CoreUnder,XfSpruceYb,-348.62,199.47,48.21,346.0,0.7362
Preserve,CoreUnder,XfSpruceYb,-344.00,199.92,-52.00,324.8,0.8595
Preserve,CoreUnder,XfFirYb,-324.00,188.93,-12.00,65.0,1.0774
Preserve,CoreUnder,XfFirYb,-326.77,188.91,-18.36,82.9,0.8582
Preserve,CoreUnder,XfFirYb,-348.00,197.77,-44.00,45.8,0.7435
Preserve,CoreUnder,XfFirYb,-172.14,159.12,26.51,13.5,0.6305
Preserve,CoreUnder,XfSpruceYb,-168.00,160.55,-32.00,307.3,1.0295
Preserve,CoreUnder,XfFirYb,-161.77,156.07,27.13,26.4,0.7092
Preserve,CoreUnder,XfFirYb,-168.00,157.83,28.00,36.0,0.7317
Preserve,CoreUnder,XfSugiYb,-324.00,195.42,-48.00,138.5,0.9533
Preserve,CoreUnder,XfFirYb,-168.00,162.26,-44.00,132.0,1.1271
Preserve,CoreUnder,XfSpruceYb,-348.00,197.53,44.00,134.6,0.5683
Preserve,CoreUnder,XfFirYb,-328.00,189.70,16.00,112.4,0.8883
Preserve,CoreUnder,XfSugiYb,-168.00,159.78,-24.00,104.9,1.1494
Preserve,CoreUnder,XfSpruceYb,-328.00,190.26,32.00,302.1,0.9215
Preserve,CoreUnder,XfSpruceYb,-161.59,161.77,50.23,208.7,1.1324
Preserve,CoreUnder,XfSpruceYb,-164.00,166.09,56.00,237.7,1.0734
Preserve,CoreUnder,XfSpruceYb,-169.19,169.80,57.92,93.0,1.1100
Preserve,CoreUnder,XfHinokiYb,-168.00,160.31,36.00,305.1,0.6475
Preserve,CoreUnder,XfFirYb,-308.00,185.84,-28.00,76.5,0.7018
Preserve,CoreUnder,XfHinokiYb,-164.00,157.26,16.00,77.7,1.0331
Preserve,FallsClearing,XfHinokiYb,-116.00,144.75,4.00,149.0,0.9492
Preserve,FallsClearing,XfHinokiMT,-92.00,145.27,12.00,320.8,1.0058
Preserve,Margin,ReedClump,-149.73,149.35,-4.97,1.6,0.9484
Preserve,Margin,IrisB,-135.39,149.50,-0.13,120.6,0.8363
Preserve,Margin,TallWeeds,-195.63,158.20,7.74,340.4,0.4303
Preserve,Margin,TallWeeds,-212.38,156.99,3.95,187.8,0.5072
Preserve,Margin,TallWeeds,-135.29,149.38,2.98,336.5,0.5819
